Network,Min Segment Length (m),Max Segment Length (m),Avg Segment Length (m),Total Segment Length (m),Total Segments,Total Timesteps,CN Violations,Number of Segments Violating CN,Length of Network Violating CN,% Segments Violating CN,rpu
reference_01a,1.0,29257.0,1523.31,96557850.0,63387,288,403779,1655,117666.0,2.61,01a
rf_s10000_m1000_c1000,1.73,29257.17,2319.21,92759257.7,39996,288,50597,208,31425.600679836803,0.52,01a
rf_s10000_m1500_c1500,1.73,29257.17,2606.03,92769450.57,35598,288,47624,194,29149.351250504667,0.54,01a
rf_s10000_m2500_c2500,1.73,29257.17,3031.26,92796099.43,30613,288,42918,174,26535.60496513089,0.57,01a
rf_s10000_m3500_c3500,1.73,29257.17,3278.26,92791290.12,28305,288,38086,154,23462.16687030909,0.54,01a
rf_s10000_m4500_c4500,1.73,29257.17,3427.85,92791866.36,27070,288,35415,143,21993.535171813983,0.53,01a
rf_s10000_m500_c500,1.73,29257.17,1958.65,92738227.13,47348,288,57215,239,38752.81295801132,0.5,01a
reference_02a,1.0,38297.0,1536.5,128431800.0,83587,288,474781,3414,437018.0,4.08,02a
rf_s10000_m1000_c1000,5.24,38146.64,2242.89,123912766.51,55247,288,53742,351,67512.60764386963,0.64,02a
rf_s10000_m1500_c1500,5.24,38146.64,2546.16,123901253.54,48662,288,49049,318,61941.49676133544,0.65,02a
rf_s10000_m2500_c2500,9.35,38146.64,2937.84,123894662.46,42172,288,43339,283,54800.99912803114,0.67,02a
rf_s10000_m3500_c3500,9.35,38146.64,3142.55,123888560.0,39423,288,40458,261,51247.664901947006,0.66,02a
rf_s10000_m4500_c4500,9.35,38146.64,3264.11,123876234.37,37951,288,37589,248,49043.454049587854,0.65,02a
rf_s10000_m500_c500,5.24,38146.64,1898.67,123918813.53,65266,288,59743,451,109622.574158676,0.69,02a
reference_02b,1.0,27300.0,1548.76,59546864.0,38448,288,374254,1675,132456.0,4.36,02b
rf_s10000_m1000_c1000,1.41,27150.11,2427.77,57518639.34,23692,288,44053,192,25845.18269738028,0.81,02b
rf_s10000_m1500_c1500,2.84,27150.11,2700.61,57520254.93,21299,288,39399,172,23042.092653987755,0.81,02b
rf_s10000_m2500_c2500,2.84,27150.11,3090.03,57517851.96,18614,288,35484,154,20670.10128332158,0.83,02b
rf_s10000_m3500_c3500,2.84,27150.11,3323.56,57517507.84,17306,288,32477,140,19308.86323688734,0.81,02b
rf_s10000_m4500_c4500,7.11,27150.11,3471.08,57495050.43,16564,288,30921,134,18635.83055390059,0.81,02b
rf_s10000_m500_c500,0.57,27150.11,2075.79,57520075.52,27710,288,49962,220,31768.87685685037,0.79,02b
reference_03a,1.0,17780.0,1346.24,75660070.0,56201,288,205636,1254,122086.0,2.23,03a
rf_s10000_m1000_c1000,10.65,11625.3,2024.41,72506210.88,35816,288,18379,117,19468.05436882217,0.33,03a
rf_s10000_m1500_c1500,10.65,13100.83,2324.44,72503866.03,31192,288,17245,112,18932.87014963021,0.36,03a
rf_s10000_m2500_c2500,10.65,20822.64,2686.97,72499915.21,26982,288,14415,96,16907.57727236867,0.36,03a
rf_s10000_m3500_c3500,10.65,19484.7,2869.92,72497174.99,25261,288,13088,89,15992.401436445383,0.35,03a
rf_s10000_m4500_c4500,10.65,27567.98,2978.24,72493373.05,24341,288,12162,83,15477.290987436148,0.34,03a
rf_s10000_m500_c500,10.65,11625.3,1699.8,72506832.88,42656,288,21850,134,22451.613035926148,0.31,03a
reference_03b,1.0,20192.0,1418.77,106230110.0,74875,288,270265,1118,74859.0,1.49,03b
rf_s10000_m1000_c1000,6.04,20048.61,2156.29,102262219.27,47425,288,28314,130,20517.88044578811,0.27,03b
rf_s10000_m1500_c1500,6.04,20048.61,2438.91,102261067.61,41929,288,26299,118,17954.507103613363,0.28,03b
rf_s10000_m2500_c2500,6.04,20048.61,2805.71,102248613.04,36443,288,23570,104,16324.543185001055,0.29,03b
rf_s10000_m3500_c3500,6.04,25460.13,2993.76,102245964.69,34153,288,21255,97,16181.13676484728,0.28,03b
rf_s10000_m4500_c4500,6.04,31650.27,3106.25,102242181.11,32915,288,20751,92,15126.76068530441,0.28,03b
rf_s10000_m500_c500,6.04,20048.61,1822.2,102265515.57,56122,288,31964,145,22081.29648600054,0.26,03b
reference_03c,1.0,33565.0,1483.98,49052904.0,33055,288,90303,402,21333.0,1.22,03c
rf_s10000_m1000_c1000,2.12,29877.14,2280.64,48801030.96,21398,288,6281,29,3649.635167751728,0.14,03c
rf_s10000_m1500_c1500,2.12,29877.14,2558.46,48800028.46,19074,288,6051,28,3596.786843927815,0.15,03c
rf_s10000_m2500_c2500,2.12,29877.14,2965.86,48794341.07,16452,288,5352,25,3223.1786416656546,0.15,03c
rf_s10000_m3500_c3500,2.12,29877.14,3165.61,48788328.0,15412,288,5145,24,3155.9041453258424,0.16,03c
rf_s10000_m4500_c4500,2.12,31141.4,3290.48,48784612.94,14826,288,4871,23,3102.518829921494,0.16,03c
rf_s10000_m500_c500,2.12,29877.14,1967.04,48802317.84,24810,288,6691,31,4222.180266765762,0.12,03c
reference_03d,1.0,26262.0,1244.56,21148814.0,16993,288,70593,339,20203.0,1.99,03d
rf_s10000_m1000_c1000,4.52,26262.38,2023.86,20665593.79,10211,288,7034,29,3869.156988761869,0.28,03d
rf_s10000_m1500_c1500,4.52,26262.38,2256.68,20659898.43,9155,288,6047,25,3229.218038284472,0.27,03d
rf_s10000_m2500_c2500,4.52,26262.38,2569.47,20650810.43,8037,288,5769,24,3099.983757115162,0.3,03d
rf_s10000_m3500_c3500,4.52,26262.38,2751.61,20642551.86,7502,288,5297,22,2984.806818764831,0.29,03d
rf_s10000_m4500_c4500,4.52,26262.38,2843.52,20626901.32,7254,288,4188,18,2631.061892262528,0.25,03d
rf_s10000_m500_c500,4.52,26262.38,1728.34,20669175.28,11959,288,7591,32,4632.216500809076,0.27,03d
reference_03e,1.0,27874.0,1473.54,71517010.0,48534,288,195334,892,68180.0,1.84,03e
rf_s10000_m1000_c1000,10.68,27874.07,2139.28,68784406.25,32153,288,18924,87,13862.69350117338,0.27,03e
rf_s10000_m1500_c1500,10.68,27874.07,2429.33,68779227.34,28312,288,17387,80,13186.649838589976,0.28,03e
rf_s10000_m2500_c2500,10.68,27874.07,2804.81,68765583.92,24517,288,15087,69,11390.03999923414,0.28,03e
rf_s10000_m3500_c3500,10.68,28237.08,2989.79,68759090.22,22998,288,13898,62,10290.45513754882,0.27,03e
rf_s10000_m4500_c4500,10.68,27874.07,3091.55,68759090.22,22241,288,13649,60,9956.931480292038,0.27,03e
rf_s10000_m500_c500,10.68,27874.07,1788.72,68785343.78,38455,288,20294,97,15888.983640210186,0.25,03e
reference_03f,1.0,17525.0,1635.29,140899470.0,86162,288,237527,1089,67765.0,1.26,03f
rf_s10000_m1000_c1000,2.77,17525.03,2253.81,135801232.63,60254,288,16292,75,8925.032479235831,0.12,03f
rf_s10000_m1500_c1500,2.77,17525.03,2562.38,135801232.63,52998,288,14790,68,8247.061161286283,0.13,03f
rf_s10000_m2500_c2500,2.77,23158.19,2953.58,135799557.41,45978,288,13077,58,6873.279991939979,0.13,03f
rf_s10000_m3500_c3500,2.77,24981.49,3164.02,135799557.41,42920,288,12753,57,6753.076118577594,0.13,03f
rf_s10000_m4500_c4500,2.77,34228.5,3278.12,135799557.41,41426,288,12114,55,6489.700997740657,0.13,03f
rf_s10000_m500_c500,2.77,17525.03,1922.58,135801232.63,70635,288,18159,84,9986.732868726864,0.12,03f
reference_03g,1.0,10978.0,1597.66,23635830.0,14794,288,25031,99,3575.0,0.67,03g
rf_s10000_m1000_c1000,5.36,10382.96,2221.07,22785927.83,10259,288,1965,9,789.5382498978806,0.09,03g
rf_s10000_m1500_c1500,5.36,10388.01,2491.63,22785927.83,9145,288,1688,8,769.5096124723511,0.09,03g
rf_s10000_m2500_c2500,5.36,17739.03,2858.6,22785927.83,7971,288,1700,8,769.5096124723511,0.1,03g
rf_s10000_m3500_c3500,5.36,20330.15,3051.96,22785927.83,7466,288,1634,7,702.5529216968313,0.09,03g
rf_s10000_m4500_c4500,5.36,17409.9,3171.76,22785927.83,7184,288,1627,7,702.5529216968313,0.1,03g
rf_s10000_m500_c500,5.36,10382.96,1911.09,22785927.83,11923,288,2129,10,912.485341672278,0.08,03g
reference_04a,1.0,95714.0,1737.53,43533904.0,25055,288,138235,537,22530.0,2.14,04a
rf_s10000_m1000_c1000,3.86,16136.81,2481.96,42374554.63,17073,288,7093,33,4144.306702678247,0.19,04a
rf_s10000_m1500_c1500,3.86,16136.81,2769.84,42372956.47,15298,288,6285,28,3327.595775347705,0.18,04a
rf_s10000_m2500_c2500,3.86,17390.54,3187.87,42366806.67,13290,288,5473,26,3491.2178932311685,0.2,04a
rf_s10000_m3500_c3500,4.38,24541.08,3453.0,42354500.98,12266,288,4422,20,2316.701773053197,0.16,04a
rf_s10000_m4500_c4500,4.38,28847.2,3613.47,42342621.3,11718,288,4405,20,2410.372564677318,0.17,04a
rf_s10000_m500_c500,2.41,16136.81,2151.17,42375802.01,19699,288,8801,40,5156.593844147235,0.2,04a
reference_04b,3.0,17744.0,1746.64,13284918.0,7606,288,38404,230,23743.0,3.02,04b
rf_s10000_m1000_c1000,9.69,16622.41,2560.49,12917663.21,5045,288,3774,23,3412.233047058087,0.46,04b
rf_s10000_m1500_c1500,9.69,16622.41,2856.2,12924296.93,4525,288,3465,21,3259.552273570592,0.46,04b
rf_s10000_m2500_c2500,9.69,16622.41,3304.07,12925532.57,3912,288,3096,19,2962.060512329795,0.49,04b
rf_s10000_m3500_c3500,9.69,21158.42,3631.37,12934933.46,3562,288,3138,19,2705.042042255735,0.53,04b
rf_s10000_m4500_c4500,9.69,21158.42,3808.87,12934933.46,3396,288,2822,18,2620.785608894184,0.53,04b
rf_s10000_m500_c500,9.69,16622.41,2198.64,12919185.06,5876,288,4262,27,4424.101733049685,0.46,04b
reference_04c,1.0,24972.0,1976.87,63222290.0,31981,288,105294,435,18998.0,1.36,04c
rf_s10000_m1000_c1000,13.18,24971.84,2614.98,61580052.88,23549,288,8120,37,4257.207795524606,0.16,04c
rf_s10000_m1500_c1500,13.18,24971.84,2883.55,61572481.34,21353,288,8120,37,4257.207795524606,0.17,04c
rf_s10000_m2500_c2500,13.18,24971.84,3300.58,61562392.86,18652,288,7293,32,3962.079037784751,0.17,04c
rf_s10000_m3500_c3500,13.18,24971.84,3578.54,61550806.54,17200,288,6299,26,3038.1021250850845,0.15,04c
rf_s10000_m4500_c4500,13.18,25869.71,3751.04,61543239.97,16407,288,6037,25,3235.232513614072,0.15,04c
rf_s10000_m500_c500,12.26,24971.84,2301.65,61576069.95,26753,288,9145,42,5025.559216654494,0.16,04c
reference_04d,1.0,27699.0,1876.79,68758250.0,36636,288,230461,1102,73957.0,3.01,04d
rf_s10000_m1000_c1000,0.9,27698.66,2601.51,67082513.32,25786,288,22682,119,13599.427228878583,0.46,04d
rf_s10000_m1500_c1500,0.9,27698.66,2879.27,67084131.19,23299,288,21841,114,13244.32484328925,0.49,04d
rf_s10000_m2500_c2500,0.9,27698.66,3314.16,67068554.99,20237,288,19122,102,12610.63644342236,0.5,04d
rf_s10000_m3500_c3500,0.9,27698.66,3598.08,67046576.73,18634,288,17067,91,11234.424694326686,0.49,04d
